001ç1234567891234çPedroç50000
001ç3245678865434çPauloç40000.99
002ç2345675434544345çJose da SilvaçRural
002ç2345675433444345çEduardo PereiraçRural
003ç10ç[1-10-100,2-30-2.50,3-40-3.10]çPedro
003ç08ç[1-34-10,2-33-1.50,3-40-0.10]çPaulo
003ç210ç[1-10-100,2-30-2.50,3-40-3.10]çPedro
003ç028ç[1-34-10,2-33-1.50,3-40-0.10]çPaulo
003ç130ç[1-10-100,2-30-2.50,3-40-3.10]çPedro
003ç208ç[1-34-10,2-33-1.50,3-40-0.10]çPaulo
003ç1350ç[1-10-100,2-30-2.50,3-40-3.10]çPedro
003ç085ç[1-34-10,2-33-1.50,3-40-0.10]çPaulo
003ç1803ç[1-10-100,2-30-2.50,3-40-3.10]çPedro
003ç048ç[1-34-10,2-33-1.50,3-40-0.10]çPaulo
003ç1970ç[1-10-100,2-30-2.50,3-40-3.10]çPedro
003ç0285ç[1-34-10,2-33-1.50,3-40-0.10]çPaulo
